tid  x      y
0.0  0.006  0.002
0.1  1.012  0.308
0.2 -0.467  0.570
0.3 -0.396 -0.142
0.4  1.202 -0.057
0.5  0.304  0.814
0.6 -0.581  0.399
0.7  1.018 -0.010
0.8  1.066  0.858
0.9 -0.417  0.926
1.0  0.593  0.206
1.1  1.587  0.766
1.2  0.093  1.317
1.3  0.145  0.585
1.4  1.723  0.646
1.5  0.804  1.491
1.6 -0.105  1.048
1.7  1.468  0.608
1.8  1.489  1.443
1.9 -0.023  1.476
2.0  0.956  0.717
2.1  1.918  1.238
2.2  0.391  1.747
2.3  0.408  0.972
2.4  1.950  0.988
2.5  0.996  1.786
2.6  0.048  1.297
2.7  1.583  0.807
2.8  1.567  1.593
2.9  0.016  1.577
3.0  0.955  0.768
3.1  1.880  1.237
3.2  0.314  1.697
3.3  0.291  0.871
3.4  1.796  0.837
3.5  0.805  1.586
3.6 -0.180  1.048
3.7  1.320  0.512
3.8  1.269  1.251
3.9 -0.315  1.190
4.0  0.591  0.338
4.1  1.486  0.765
4.2 -0.109  1.185
4.3 -0.160  0.322
4.4  1.320  0.251
4.5  0.306  0.968
4.6 -0.702  0.400
4.7  0.777 -0.166
4.8  0.711  0.547
4.9 -0.889  0.464
5.0  0.003 -0.408
5.1  0.887  0.002
5.2 -0.715  0.407
5.3 -0.773 -0.466
5.4  0.703 -0.545
5.5 -0.312  0.167
5.6 -1.318 -0.403
5.7  0.164 -0.967
5.8  0.104 -0.249
5.9 -1.488 -0.324
6.0 -0.586 -1.186
6.1  0.313 -0.763
6.2 -1.274 -0.339
6.3 -1.315 -1.192
6.4  0.181 -1.248
6.5 -0.811 -0.511
6.6 -1.795 -1.052
6.7 -0.287 -1.586
6.8 -0.319 -0.835
6.9 -1.881 -0.874
7.0 -0.949 -1.697
7.1 -0.018 -1.234
7.2 -1.571 -0.769
7.3 -1.579 -1.579
7.4 -0.047 -1.591
7.5 -1.001 -0.807
7.6 -1.949 -1.299
7.7 -0.403 -1.786
7.8 -0.395 -0.985
7.9 -1.920 -0.973
8.0 -0.950 -1.747
8.1  0.021 -1.235
8.2 -1.493 -0.718
8.3 -1.463 -1.478
8.4  0.107 -1.440
8.5 -0.810 -0.607
8.6 -1.721 -1.051
8.7 -0.141 -1.490
8.8 -0.097 -0.644
8.9 -1.589 -0.587
9.0 -0.587 -1.317
9.1  0.415 -0.763
9.2 -1.070 -0.207
9.3 -1.013 -0.928
9.4  0.583 -0.855
9.5 -0.309  0.011
9.6 -1.200 -0.401
9.7  0.401 -0.812
9.8  0.462  0.059
9.9 -1.014  0.139
10.0  0.000 -0.571
10.1  1.014  0.000
10.2 -0.462  0.571
10.3 -0.401 -0.139
10.4  1.200 -0.059
10.5  0.309  0.812
10.6 -0.583  0.401
10.7  1.013 -0.011
10.8  1.070  0.855
10.9 -0.415  0.928
11.0  0.587  0.207
11.1  1.589  0.763
11.2  0.097  3.317
11.3  0.141  0.587
11.4  1.721  0.644
11.5  0.810  1.490
11.6 -0.107  1.051
11.7  1.463  0.607
11.8  1.493  1.440
11.9 -0.021  1.478
12.0  0.950  0.718
12.1  1.920  1.235
12.2  0.395  1.747
12.3  0.403  0.973
12.4  1.949  0.985
12.5  1.001  1.786
12.6  0.047  1.299
12.7  1.579  0.807
12.8  1.571  1.591
12.9  0.018  1.579
13.0  0.949  0.769
13.1  1.881  1.234
13.2  0.319  1.697
13.3  0.287  0.874
13.4  1.795  0.835
13.5  0.811  1.586
13.6 -0.181  1.052
13.7  1.315  0.511
13.8  1.274  1.248
13.9 -0.313  1.192
14.0  0.586  0.339
14.1  1.488  0.763
14.2 -0.104  1.186
14.3 -0.164  0.324
14.4  1.318  0.249
14.5  0.312  0.967
14.6 -0.703  0.403
14.7  0.773 -0.167
14.8  0.715  0.545
14.9 -0.887  0.466
15.0 -0.003 -0.407
15.1  0.889 -0.002
15.2 -0.711  0.408
15.3 -0.777 -0.464
15.4  0.702 -0.547
15.5 -0.306  0.166
15.6 -1.320 -0.400
15.7  0.160 -0.968
15.8  0.109 -0.251
15.9 -1.486 -0.322
16.0 -0.591 -1.185
16.1  0.315 -0.765
16.2 -1.269 -0.338
16.3 -1.320 -1.190
16.4  0.180 -1.251
16.5 -0.805 -0.512
16.6 -1.796 -1.048
16.7 -0.291 -1.586
16.8 -0.314 -0.837
16.9 -1.880 -0.871
17.0 -0.955 -1.697
17.1 -0.016 -1.237
17.2 -1.567 -0.768
17.3 -1.583 -1.577
17.4 -0.048 -1.593
17.5 -0.996 -0.807
17.6 -1.950 -1.297
17.7 -0.408 -1.786
17.8 -0.391 -0.988
17.9 -1.918 -0.972
18.0 -0.956 -1.747
18.1  0.023 -1.238
18.2 -1.489 -0.717
18.3 -1.468 -1.476
18.4  0.105 -1.443
18.5 -0.804 -0.608
18.6 -1.723 -1.048
18.7 -0.145 -1.491
18.8 -0.093 -0.646
18.9 -1.587 -0.585
19.0 -0.593 -1.317
19.1  0.417 -0.766
19.2 -1.066 -0.206
19.3 -1.018 -0.926
19.4  0.581 -0.858
19.5 -0.304  0.010
19.6 -1.202 -0.399
19.7  0.396 -0.814
19.8  0.467  0.057
19.9 -1.012  0.142
20.0 -0.006 -0.570
